Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Artist_Track
dvrst - dream space. speed up,qfxs,736189.0,11935.0,147.0,False,False,6207675.0,DVRST-Dream Space - Sped Up
Slipknot - Wait And Bleed [OFFICIAL VIDEO] [HD],Slipknot,132263461.0,696184.0,30426.0,True,True,297647780.0,Slipknot-Wait and Bleed
Hercules | Zero to Hero | Lyric Video | Disney Sing Along,Disney,43190273.0,179776.0,0.0,True,True,101142300.0,Disney-Zero To Hero
Papercut [Official HD Music Video] - Linkin Park,Linkin Park,240834555.0,1400306.0,50003.0,True,True,345142662.0,Linkin Park-Papercut
Mari Fernandez e @MuriloHuff - RESPEITA SEU EX [Video Oficial],Mari Fernandez,6099477.0,59861.0,1096.0,False,True,10739685.0,Mari Fernandez-Respeita Seu Ex
SUMMER TIME SADNESS HARDSTYLE,SICK LEGEND - Topic,23719.0,362.0,0.0,True,True,10838254.0,SICK LEGEND-SUMMER TIME SADNESS HARDSTYLE
More Than A Woman (SG's Paradise Edit),Bee Gees - Topic,2983334.0,44533.0,20.0,True,True,44849235.0,Bee Gees-More Than A Woman - SG's Paradise Edit
blink-182 - What's My Age Again? (Official Music Video),blink182VEVO,91222822.0,498740.0,28347.0,True,True,521711460.0,blink-182-What's My Age Again?
Rosa Linn - SNAP (Luca Schreiner Remix),LubeniaRecords,236213.0,3122.0,28.0,False,False,11311812.0,Rosa Linn-SNAP - Luca Schreiner Remix
Daddy Yankee & Snow - Con Calma (Video Oficial),Daddy Yankee,2626439287.0,13036596.0,384865.0,False,True,1170562263.0,Daddy Yankee-Con Calma
INTERWORLD - METAMORPHOSIS (KUTE Remix) (Music Video),KUTE,278703.0,10738.0,352.0,False,True,1652333.0,INTERWORLD-METAMORPHOSIS - KUTE Remix
Saturday Night Fever - More Than A Woman (Bee Gees),frontera2032,35040291.0,161399.0,6596.0,False,False,361014530.0,"Bee Gees-More Than A Woman - From ""Saturday Night Fever"" Soundtrack"
Beyoncé - ENERGY (Official Lyric Video),BeyoncéVEVO,5840552.0,72908.0,3391.0,True,True,71933137.0,Beyoncé-ENERGY (feat. Beam)
"Maná - ""Mi Verdad"" a dueto con Shakira (Video Oficial)",OficialMana,356859999.0,1256007.0,29723.0,True,True,231730622.0,Maná-Mi Verdad (feat. Shakira)
ONLY GIRL HARDSTYLE,SICK LEGEND - Topic,6533.0,88.0,0.0,True,True,6873961.0,SICK LEGEND-ONLY GIRL HARDSTYLE
Billy Joel - Movin' Out (Anthony's Song) (from Old Grey Whistle Test),billyjoelVEVO,2390090.0,23345.0,994.0,True,True,99456533.0,Billy Joel-Movin' Out (Anthony's Song)
blink-182 - Stay Together For The Kids,blink182VEVO,89303151.0,398587.0,20026.0,True,True,105326686.0,blink-182-Stay Together For The Kids
